word,p1,p2,p3,p4,p5,p6,p7,p8
ಅಭಿಪ್ರಾಯ,ಅಭಿಪ್ರಾಯ,ಅಭಿಪ್ರಾಯವನ್ನು,ಅಭಿಪ್ರಾಯದಿಂದ,ಅಭಿಪ್ರಾಯಕ್ಕೆ,ಅಭಿಪ್ರಾಯದಿಂದ,ಅಭಿಪ್ರಾಯದ,ಅಭಿಪ್ರಾಯದಲ್ಲಿ,ಅಭಿಪ್ರಾಯವೇ
ಪ್ರಾಮಾಣಿಕತೆ,ಪ್ರಾಮಾಣಿಕತೆ,ಪ್ರಾಮಾಣಿಕತೆಯನ್ನು,ಪ್ರಾಮಾಣಿಕತೆಯಿಂದ,ಪ್ರಾಮಾಣಿಕತೆಗೆ,ಪ್ರಾಮಾಣಿಕತೆಯಿಂದ,ಪ್ರಾಮಾಣಿಕತೆಯ,ಪ್ರಾಮಾಣಿಕತೆಯಲ್ಲಿ,ಪ್ರಾಮಾಣಿಕತೆಯೇ
ವಿಶ್ರಾಂತಿ,ವಿಶ್ರಾಂತಿ,ವಿಶ್ರಾಂತಿಯನ್ನು,ವಿಶ್ರಾಂತಿಯಿಂದ,ವಿಶ್ರಾಂತಿಗೆ,ವಿಶ್ರಾಂತಿಯಿಂದ,ವಿಶ್ರಾಂತಿಯ,ವಿಶ್ರಾಂತಿಯಲ್ಲಿ,ವಿಶ್ರಾಂತಿಯೇ
ತೇರ್ಗಡೆ,ತೇರ್ಗಡೆ,ತೇರ್ಗಡೆಯನ್ನು,ತೇರ್ಗಡೆಯಿಂದ,ತೇರ್ಗಡೆಗೆ,ತೇರ್ಗಡೆಯಿಂದ,ತೇರ್ಗಡೆಯ,ತೇರ್ಗಡೆಯಲ್ಲಿ,ತೇರ್ಗಡೆಯೇ
ಬೀದಿ,ಬೀದಿ,ಬೀದಿಯನ್ನು,ಬೀದಿಯಿಂದ,ಬೀದಿಗೆ,ಬೀದಿಯಿಂದ,ಬೀದಿಯ,ಬೀದಿಯಲ್ಲಿ,ಬೀದಿಯೇ
ಸಂಖ್ಯೆ,ಸಂಖ್ಯೆ,ಸಂಖ್ಯೆಯನ್ನು,ಸಂಖ್ಯೆಯಿಂದ,ಸಂಖ್ಯೆಗೆ,ಸಂಖ್ಯೆಯಿಂದ,ಸಂಖ್ಯೆಯ,ಸಂಖ್ಯೆಯಲ್ಲಿ,ಸಂಖ್ಯೆಯೇ
ಭದ್ರತೆ,ಭದ್ರತೆ,ಭದ್ರತೆಯನ್ನು,ಭದ್ರತೆಯಿಂದ,ಭದ್ರತೆಗೆ,ಭದ್ರತೆಯಿಂದ,ಭದ್ರತೆಯ,ಭದ್ರತೆಯಲ್ಲಿ,ಭದ್ರತೆಯೇ
ಅಡೆತಡೆ,ಅಡೆತಡೆ,ಅಡೆತಡೆಯನ್ನು,ಅಡೆತಡೆಯಿಂದ,ಅಡೆತಡೆಗೆ,ಅಡೆತಡೆಯಿಂದ,ಅಡೆತಡೆಯ,ಅಡೆತಡೆಯಲ್ಲಿ,ಅಡೆತಡೆಯೇ
ಸ್ವಯಂಸೇವಕಿ,ಸ್ವಯಂಸೇವಕಿ,ಸ್ವಯಂಸೇವಕಿಯನ್ನು,ಸ್ವಯಂಸೇವಕಿಯಿಂದ,ಸ್ವಯಂಸೇವಕಿಗೆ,ಸ್ವಯಂಸೇವಕಿಯಿಂದ,ಸ್ವಯಂಸೇವಕಿಯ,ಸ್ವಯಂಸೇವಕಿಯಲ್ಲಿ,ಸ್ವಯಂಸೇವಕಿಯೇ
ವಾಹಿನಿ,ವಾಹಿನಿ,ವಾಹಿನಿಯನ್ನು,ವಾಹಿನಿಯಿಂದ,ವಾಹಿನಿಗೆ,ವಾಹಿನಿಯಿಂದ,ವಾಹಿನಿಯ,ವಾಹಿನಿಯಲ್ಲಿ,ವಾಹಿನಿಯೇ
ದಾಖಲೆ,ದಾಖಲೆ,ದಾಖಲೆಯನ್ನು,ದಾಖಲೆಯಿಂದ,ದಾಖಲೆಗೆ,ದಾಖಲೆಯಿಂದ,ದಾಖಲೆಯ,ದಾಖಲೆಯಲ್ಲಿ,ದಾಖಲೆಯೇ
ವಿದ್ಯೆ,ವಿದ್ಯೆ,ವಿದ್ಯೆಯನ್ನು,ವಿದ್ಯೆಯಿಂದ,ವಿದ್ಯೆಗೆ,ವಿದ್ಯೆಯಿಂದ,ವಿದ್ಯೆಯ,ವಿದ್ಯೆಯಲ್ಲಿ,ವಿದ್ಯೆಯೇ
ಮೂರ್ತಿ,ಮೂರ್ತಿ,ಮೂರ್ತಿಯನ್ನು,ಮೂರ್ತಿಯಿಂದ,ಮೂರ್ತಿಗೆ,ಮೂರ್ತಿಯಿಂದ,ಮೂರ್ತಿಯ,ಮೂರ್ತಿಯಲ್ಲಿ,ಮೂರ್ತಿಯೇ
ಪ್ರತಿಕ್ರಿಯೆ,ಪ್ರತಿಕ್ರಿಯೆ,ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು,ಪ್ರತಿಕ್ರಿಯೆಯಿಂದ,ಪ್ರತಿಕ್ರಿಯೆಗೆ,ಪ್ರತಿಕ್ರಿಯೆಯಿಂದ,ಪ್ರತಿಕ್ರಿಯೆಯ,ಪ್ರತಿಕ್ರಿಯೆಯಲ್ಲಿ,ಪ್ರತಿಕ್ರಿಯೆಯೇ
ಸಹಕಾರ,ಸಹಕಾರ,ಸಹಕಾರವನ್ನು,ಸಹಕಾರದಿಂದ,ಸಹಕಾರಕ್ಕೆ,ಸಹಕಾರದಿಂದ,ಸಹಕಾರದ,ಸಹಕಾರದಲ್ಲಿ,ಸಹಕಾರವೇ
ಸಂಕೀರ್ಣತೆ,ಸಂಕೀರ್ಣತೆ,ಸಂಕೀರ್ಣತೆಯನ್ನು,ಸಂಕೀರ್ಣತೆಯಿಂದ,ಸಂಕೀರ್ಣತೆಗೆ,ಸಂಕೀರ್ಣತೆಯಿಂದ,ಸಂಕೀರ್ಣತೆಯ,ಸಂಕೀರ್ಣತೆಯಲ್ಲಿ,ಸಂಕೀರ್ಣತೆಯೇ
ದಿನಾಂಕ,ದಿನಾಂಕ,ದಿನಾಂಕವನ್ನು,ದಿನಾಂಕದಿಂದ,ದಿನಾಂಕಕ್ಕೆ,ದಿನಾಂಕದಿಂದ,ದಿನಾಂಕದ,ದಿನಾಂಕದಲ್ಲಿ,ದಿನಾಂಕವೇ
ವಿದ್ಯುತ್,ವಿದ್ಯುತ್,ವಿದ್ಯುತ್ತನ್ನು,ವಿದ್ಯುತ್ತಿನಿಂದ,ವಿದ್ಯುತ್ತಿಗೆ,ವಿದ್ಯುತ್ತಿನಿಂದ,ವಿದ್ಯುತ್ತಿನ,ವಿದ್ಯುತ್ತಿನಲ್ಲಿ,ವಿದ್ಯುತ್ತೇ
ಕಲಾಕೃತಿ,ಕಲಾಕೃತಿ,ಕಲಾಕೃತಿಯನ್ನು,ಕಲಾಕೃತಿಯಿಂದ,ಕಲಾಕೃತಿಗೆ,ಕಲಾಕೃತಿಯಿಂದ,ಕಲಾಕೃತಿಯ,ಕಲಾಕೃತಿಯಲ್ಲಿ,ಕಲಾಕೃತಿಯೇ
ಯಾತನೆ,ಯಾತನೆ,ಯಾತನೆಯನ್ನು,ಯಾತನೆಯಿಂದ,ಯಾತನೆಗೆ,ಯಾತನೆಯಿಂದ,ಯಾತನೆಯ,ಯಾತನೆಯಲ್ಲಿ,ಯಾತನೆಯೇ
ಸಾಧನೆ,ಸಾಧನೆ,ಸಾಧನೆಯನ್ನು,ಸಾಧನೆಯಿಂದ,ಸಾಧನೆಗೆ,ಸಾಧನೆಯಿಂದ,ಸಾಧನೆಯ,ಸಾಧನೆಯಲ್ಲಿ,ಸಾಧನೆಯೇ
ಕಛೇರಿ,ಕಛೇರಿ,ಕಛೇರಿಯನ್ನು,ಕಛೇರಿಯಿಂದ,ಕಛೇರಿಗೆ,ಕಛೇರಿಯಿಂದ,ಕಛೇರಿಯ,ಕಛೇರಿಯಲ್ಲಿ,ಕಛೇರಿಯೇ
ಸುವರ್ಣ,ಸುವರ್ಣ,ಸುವರ್ಣವನ್ನು,ಸುವರ್ಣದಿಂದ,ಸುವರ್ಣಕ್ಕೆ,ಸುವರ್ಣದಿಂದ,ಸುವರ್ಣದ,ಸುವರ್ಣದಲ್ಲಿ,ಸುವರ್ಣವೇ
ರಕ್ಷಣೆ,ರಕ್ಷಣೆ,ರಕ್ಷಣೆಯನ್ನು,ರಕ್ಷಣೆಯಿಂದ,ರಕ್ಷಣೆಗೆ,ರಕ್ಷಣೆಯಿಂದ,ರಕ್ಷಣೆಯ,ರಕ್ಷಣೆಯಲ್ಲಿ,ರಕ್ಷಣೆಯೇ
ಕಲಾವಿದೆ,ಕಲಾವಿದೆ,ಕಲಾವಿದೆಯನ್ನು,ಕಲಾವಿದೆಯಿಂದ,ಕಲಾವಿದೆಗೆ,ಕಲಾವಿದೆಯಿಂದ,ಕಲಾವಿದೆಯ,ಕಲಾವಿದೆಯಲ್ಲಿ,ಕಲಾವಿದೆಯೇ
ಕಾರ್ಯದರ್ಶಿ,ಕಾರ್ಯದರ್ಶಿ,ಕಾರ್ಯದರ್ಶಿಯನ್ನು,ಕಾರ್ಯದರ್ಶಿಯಿಂದ,ಕಾರ್ಯದರ್ಶಿಗೆ,ಕಾರ್ಯದರ್ಶಿಯಿಂದ,ಕಾರ್ಯದರ್ಶಿಯ,ಕಾರ್ಯದರ್ಶಿಯಲ್ಲಿ,ಕಾರ್ಯದರ್ಶಿಯೇ
ಪಾಲಕಿ,ಪಾಲಕಿ,ಪಾಲಕಿಯನ್ನು,ಪಾಲಕಿಯಿಂದ,ಪಾಲಕಿಗೆ,ಪಾಲಕಿಯಿಂದ,ಪಾಲಕಿಯ,ಪಾಲಕಿಯಲ್ಲಿ,ಪಾಲಕಿಯೇ
ಪೂರ್ವಿಕಿ,ಪೂರ್ವಿಕಿ,ಪೂರ್ವಿಕಿಯನ್ನು,ಪೂರ್ವಿಕಿಯಿಂದ,ಪೂರ್ವಿಕಿಗೆ,ಪೂರ್ವಿಕಿಯಿಂದ,ಪೂರ್ವಿಕಿಯ,ಪೂರ್ವಿಕಿಯಲ್ಲಿ,ಪೂರ್ವಿಕಿಯೇ
ಅಧ್ಯಾಪಕಿ,ಅಧ್ಯಾಪಕಿ,ಅಧ್ಯಾಪಕಿಯನ್ನು,ಅಧ್ಯಾಪಕಿಯಿಂದ,ಅಧ್ಯಾಪಕಿಗೆ,ಅಧ್ಯಾಪಕಿಯಿಂದ,ಅಧ್ಯಾಪಕಿಯ,ಅಧ್ಯಾಪಕಿಯಲ್ಲಿ,ಅಧ್ಯಾಪಕಿಯೇ
ಸಮೂಹ,ಸಮೂಹ,ಸಮೂಹವನ್ನು,ಸಮೂಹದಿಂದ,ಸಮೂಹಕ್ಕೆ,ಸಮೂಹದಿಂದ,ಸಮೂಹದ,ಸಮೂಹದಲ್ಲಿ,ಸಮೂಹವೇ
ಕೋಟೆ,ಕೋಟೆ,ಕೋಟೆಯನ್ನು,ಕೋಟೆಯಿಂದ,ಕೋಟೆಗೆ,ಕೋಟೆಯಿಂದ,ಕೋಟೆಯ,ಕೋಟೆಯಲ್ಲಿ,ಕೋಟೆಯೇ
ಯಾತ್ರೆ,ಯಾತ್ರೆ,ಯಾತ್ರೆಯನ್ನು,ಯಾತ್ರೆಯಿಂದ,ಯಾತ್ರೆಗೆ,ಯಾತ್ರೆಯಿಂದ,ಯಾತ್ರೆಯ,ಯಾತ್ರೆಯಲ್ಲಿ,ಯಾತ್ರೆಯೇ
ಉಡುಗೊರೆ,ಉಡುಗೊರೆ,ಉಡುಗೊರೆಯನ್ನು,ಉಡುಗೊರೆಯಿಂದ,ಉಡುಗೊರೆಗೆ,ಉಡುಗೊರೆಯಿಂದ,ಉಡುಗೊರೆಯ,ಉಡುಗೊರೆಯಲ್ಲಿ,ಉಡುಗೊರೆಯೇ
ಪರಿಣಾಮ,ಪರಿಣಾಮ,ಪರಿಣಾಮವನ್ನು,ಪರಿಣಾಮದಿಂದ,ಪರಿಣಾಮಕ್ಕೆ,ಪರಿಣಾಮದಿಂದ,ಪರಿಣಾಮದ,ಪರಿಣಾಮದಲ್ಲಿ,ಪರಿಣಾಮವೇ
ವಿಶ್ವಾಸ,ವಿಶ್ವಾಸ,ವಿಶ್ವಾಸವನ್ನು,ವಿಶ್ವಾಸದಿಂದ,ವಿಶ್ವಾಸಕ್ಕೆ,ವಿಶ್ವಾಸದಿಂದ,ವಿಶ್ವಾಸದ,ವಿಶ್ವಾಸದಲ್ಲಿ,ವಿಶ್ವಾಸವೇ
ಬೀಜ,ಬೀಜ,ಬೀಜವನ್ನು,ಬೀಜದಿಂದ,ಬೀಜಕ್ಕೆ,ಬೀಜದಿಂದ,ಬೀಜದ,ಬೀಜದಲ್ಲಿ,ಬೀಜವೇ
ಪತ್ರಕರ್ತೆ,ಪತ್ರಕರ್ತೆ,ಪತ್ರಕರ್ತೆಯನ್ನು,ಪತ್ರಕರ್ತೆಯಿಂದ,ಪತ್ರಕರ್ತೆಗೆ,ಪತ್ರಕರ್ತೆಯಿಂದ,ಪತ್ರಕರ್ತೆಯ,ಪತ್ರಕರ್ತೆಯಲ್ಲಿ,ಪತ್ರಕರ್ತೆಯೇ
ಶಿಕ್ಷಣೆ,ಶಿಕ್ಷಣೆ,ಶಿಕ್ಷಣೆಯನ್ನು,ಶಿಕ್ಷಣೆಯಿಂದ,ಶಿಕ್ಷಣೆಗೆ,ಶಿಕ್ಷಣೆಯಿಂದ,ಶಿಕ್ಷಣೆಯ,ಶಿಕ್ಷಣೆಯಲ್ಲಿ,ಶಿಕ್ಷಣೆಯೇ
ಖಾತರಿ,ಖಾತರಿ,ಖಾತ್ರಿಯನ್ನು,ಖಾತ್ರಿಯಿಂದ,ಖಾತ್ರಿಗೆ,ಖಾತ್ರಿಯಿಂದ,ಖಾತ್ರಿಯ,ಖಾತ್ರಿಯಲ್ಲಿ,ಖಾತ್ರಿಯೇ
ಶರತ್ತು,ಶರತ್ತು,ಶರತ್ತನ್ನು,ಶರತ್ತಿನಿಂದ,ಶರತ್ತಿಗೆ,ಶರತ್ತಿನಿಂದ,ಶರತ್ತಿನ,ಶರತ್ತಿನಲ್ಲಿ,ಶರತ್ತೇ
ವ್ಯಾಪ್ತಿ,ವ್ಯಾಪ್ತಿ,ವ್ಯಾಪ್ತಿಯನ್ನು,ವ್ಯಾಪ್ತಿಯಿಂದ,ವ್ಯಾಪ್ತಿಗೆ,ವ್ಯಾಪ್ತಿಯಿಂದ,ವ್ಯಾಪ್ತಿಯ,ವ್ಯಾಪ್ತಿಯಲ್ಲಿ,ವ್ಯಾಪ್ತಿಯೇ
ಸಮಿತೆ,ಸಮಿತೆ,ಸಮಿತೆಯನ್ನು,ಸಮಿತೆಯಿಂದ,ಸಮಿತೆಗೆ,ಸಮಿತೆಯಿಂದ,ಸಮಿತೆಯ,ಸಮಿತೆಯಲ್ಲಿ,ಸಮಿತೆಯೇ
ಪರಿಶೀಲಕಿ,ಪರಿಶೀಲಕಿ,ಪರಿಶೀಲಕಿಯನ್ನು,ಪರಿಶೀಲಕಿಯಿಂದ,ಪರಿಶೀಲಕಿಗೆ,ಪರಿಶೀಲಕಿಯಿಂದ,ಪರಿಶೀಲಕಿಯ,ಪರಿಶೀಲಕಿಯಲ್ಲಿ,ಪರಿಶೀಲಕಿಯೇ
ನಿಬಂಧನೆ,ನಿಬಂಧನೆ,ನಿಬಂಧನೆಯನ್ನು,ನಿಬಂಧನೆಯಿಂದ,ನಿಬಂಧನೆಗೆ,ನಿಬಂಧನೆಯಿಂದ,ನಿಬಂಧನೆಯ,ನಿಬಂಧನೆಯಲ್ಲಿ,ನಿಬಂಧನೆಯೇ
ಗಣಿತಜ್ಞೆ,ಗಣಿತಜ್ಞೆ,ಗಣಿತಜ್ಞೆಯನ್ನು,ಗಣಿತಜ್ಞೆಯಿಂದ,ಗಣಿತಜ್ಞೆಗೆ,ಗಣಿತಜ್ಞೆಯಿಂದ,ಗಣಿತಜ್ಞೆಯ,ಗಣಿತಜ್ಞೆಯಲ್ಲಿ,ಗಣಿತಜ್ಞೆಯೇ
ದಿವ್ಯತೆ,ದಿವ್ಯತೆ,ದಿವ್ಯತೆಯನ್ನು,ದಿವ್ಯತೆಯಿಂದ,ದಿವ್ಯತೆಗೆ,ದಿವ್ಯತೆಯಿಂದ,ದಿವ್ಯತೆಯ,ದಿವ್ಯತೆಯಲ್ಲಿ,ದಿವ್ಯತೆಯೇ
ಅವಶ್ಯಕತೆ,ಅವಶ್ಯಕತೆ,ಅವಶ್ಯಕತೆಯನ್ನು,ಅವಶ್ಯಕತೆಯಿಂದ,ಅವಶ್ಯಕತೆಗೆ,ಅವಶ್ಯಕತೆಯಿಂದ,ಅವಶ್ಯಕತೆಯ,ಅವಶ್ಯಕತೆಯಲ್ಲಿ,ಅವಶ್ಯಕತೆಯೇ
ಅಗತ್ಯತೆ,ಅಗತ್ಯತೆ,ಅಗತ್ಯತೆಯನ್ನು,ಅಗತ್ಯತೆಯಿಂದ,ಅಗತ್ಯತೆಗೆ,ಅಗತ್ಯತೆಯಿಂದ,ಅಗತ್ಯತೆಯ,ಅಗತ್ಯತೆಯಲ್ಲಿ,ಅಗತ್ಯತೆಯೇ
ಕಲ್ಲು,ಕಲ್ಲು,ಕಲ್ಲನ್ನು,ಕಲ್ಲಿನಿಂದ,ಕಲ್ಲಿಗೆ,ಕಲ್ಲಿನಿಂದ,ಕಲ್ಲಿನ,ಕಲ್ಲಿನಲ್ಲಿ,ಕಲ್ಲೇ
ಕುಟುಂಬ,ಕುಟುಂಬ,ಕುಟುಂಬವನ್ನು,ಕುಟುಂಬದಿಂದ,ಕುಟುಂಬಕ್ಕೆ,ಕುಟುಂಬದಿಂದ,ಕುಟುಂಬದ,ಕುಟುಂಬದಲ್ಲಿ,ಕುಟುಂಬವೇ
ಪಡೆ,ಪಡೆ,ಪಡೆಯನ್ನು,ಪಡೆಯಿಂದ,ಪಡೆಗೆ,ಪಡೆಯಿಂದ,ಪಡೆಯ,ಪಡೆಯಲಿ,ಪಡೆಯೇ
ಯುವತಿ,ಯುವತಿ,ಯುವತಿಯನ್ನು,ಯುವತಿಯಿಂದ,ಯುವತಿಗೆ,ಯುವತಿಯಿಂದ,ಯುವತಿಯ,ಯುವತಿಯಲ್ಲಿ,ಯುವತಿಯೇ
ಶ್ರೇಯಾ,ಶ್ರೇಯಾ,ಶ್ರೇಯಾಳನ್ನು,ಶ್ರೇಯಾಳಿಂದ,ಶ್ರೇಯಾಳಿಗೆ,ಶ್ರೇಯಾಳಿಂದ,ಶ್ರೇಯಾಳ,ಶ್ರೇಯಾಳಲ್ಲಿ,ಶ್ರೇಯಾಳೇ
ಪಾವತಿ,ಪಾವತಿ,ಪಾವತಿಯನ್ನು,ಪಾವತಿಯಿಂದ,ಪಾವತಿಗೆ,ಪಾವತಿಯಿಂದ,ಪಾವತಿಯ,ಪಾವತಿಯಲ್ಲಿ,ಪಾವತಿಯೇ
ಅಂಗಡಿ,ಅಂಗಡಿ,ಅಂಗಡಿಯನ್ನು,ಅಂಗಡಿಯಿಂದ,ಅಂಗಡಿಗೆ,ಅಂಗಡಿಯಿಂದ,ಅಂಗಡಿಯ,ಅಂಗಡಿಯಲ್ಲಿ,ಅಂಗಡಿಯೇ
ಭೋಜನ,ಭೋಜನ,ಭೋಜನವನ್ನು,ಭೋಜನದಿಂದ,ಭೋಜನಕ್ಕೆ,ಭೋಜನದಿಂದ,ಭೋಜನದ,ಭೋಜನದಲ್ಲಿ,ಭೋಜನವೇ
ಸಂಗೀತ,ಸಂಗೀತ,ಸಂಗೀತವನ್ನು,ಸಂಗೀತದಿಂದ,ಸಂಗೀತಕ್ಕೆ,ಸಂಗೀತದಿಂದ,ಸಂಗೀತದ,ಸಂಗೀತದಲ್ಲಿ,ಸಂಗೀತವೇ
ಸ್ವಪ್ನ,ಸ್ವಪ್ನ,ಸ್ವಪ್ನವನ್ನು,ಸ್ವಪ್ನದಿಂದ,ಸ್ವಪ್ನಕ್ಕೆ,ಸ್ವಪ್ನದಿಂದ,ಸ್ವಪ್ನದ,ಸ್ವಪ್ನದಲ್ಲಿ,ಸ್ವಪ್ನವೇ
ಸಂತೆ,ಸಂತೆ,ಸಂತೆಯನ್ನು,ಸಂತೆಯಿಂದ,ಸಂತೆಗೆ,ಸಂತೆಯಿಂದ,ಸಂತೆಯ,ಸಂತೆಯಲ್ಲಿ,ಸಂತೆಯೇ
ಶಾಲಾ,ಶಾಲಾ,ಶಾಲೆಯನ್ನು,ಶಾಲೆಯಿಂದ,ಶಾಲೆಗೆ,ಶಾಲೆಯಿಂದ,ಶಾಲೆಯ,ಶಾಲೆಯಲ್ಲಿ,ಶಾಲೆಯೇ
ಇತಿಹಾಸ,ಇತಿಹಾಸ,ಇತಿಹಾಸವನ್ನು,ಇತಿಹಾಸದಿಂದ,ಇತಿಹಾಸಕ್ಕೆ,ಇತಿಹಾಸದಿಂದ,ಇತಿಹಾಸದ,ಇತಿಹಾಸದಲ್ಲಿ,ಇತಿಹಾಸವೇ
ಮಿಂಚು,ಮಿಂಚು,ಮಿಂಚನ್ನು,ಮಿಂಚಿನಿಂದ,ಮಿಂಚಿಗೆ,ಮಿಂಚಿನಿಂದ,ಮಿಂಚಿನ,ಮಿಂಚಿನಲ್ಲಿ,ಮಿಂಚೇ
ಶನಿ,ಶನಿ,ಶನಿಯನ್ನು,ಶನಿಯಿಂದ,ಶನಿಗೆ,ಶನಿಯಿಂದ,ಶನಿಯ,ಶನಿಯಲ್ಲಿ,ಶನಿಯೇ
ಆರೋಗ್ಯ,ಆರೋಗ್ಯ,ಆರೋಗ್ಯವನ್ನು,ಆರೋಗ್ಯದಿಂದ,ಆರೋಗ್ಯಕ್ಕೆ,ಆರೋಗ್ಯದಿಂದ,ಆರೋಗ್ಯದ,ಆರೋಗ್ಯದಲ್ಲಿ,ಆರೋಗ್ಯವೇ
ಕರ್ತವ್ಯ,ಕರ್ತವ್ಯ,ಕರ್ತವ್ಯವನ್ನು,ಕರ್ತವ್ಯದಿಂದ,ಕರ್ತವ್ಯಕ್ಕೆ,ಕರ್ತವ್ಯದಿಂದ,ಕರ್ತವ್ಯದ,ಕರ್ತವ್ಯದಲ್ಲಿ,ಕರ್ತವ್ಯವೇ
ರಾತ್ರಿ,ರಾತ್ರಿ,ರಾತ್ರಿಯನ್ನು,ರಾತ್ರಿಯಿಂದ,ರಾತ್ರಿಗೆ,ರಾತ್ರಿಯಿಂದ,ರಾತ್ರಿಯ,ರಾತ್ರಿಯಲ್ಲಿ,ರಾತ್ರಿಯೇ
ಸಾಧಕಿ,ಸಾಧಕಿ,ಸಾಧಕಿಯನ್ನು,ಸಾಧಕಿಯಿಂದ,ಸಾಧಕಿಗೆ,ಸಾಧಕಿಯಿಂದ,ಸಾಧಕಿಯ,ಸಾಧಕಿಯಲ್ಲಿ,ಸಾಧಕಿಯೇ
ವೇಷ,ವೇಷ,ವೇಷವನ್ನು,ವೇಷದಿಂದ,ವೇಷಕ್ಕೆ,ವೇಷದಿಂದ,ವೇಷದ,ವೇಷದಲ್ಲಿ,ವೇಷವೇ
ಸೌಂದರ್ಯ,ಸೌಂದರ್ಯ,ಸೌಂದರ್ಯವನ್ನು,ಸೌಂದರ್ಯದಿಂದ,ಸೌಂದರ್ಯಕ್ಕೆ,ಸೌಂದರ್ಯದಿಂದ,ಸೌಂದರ್ಯದ,ಸೌಂದರ್ಯದಲ್ಲಿ,ಸೌಂದರ್ಯವೇ
ಸಂಚಿಕೆ,ಸಂಚಿಕೆ,ಸಂಚಿಕೆಯನ್ನು,ಸಂಚಿಕೆಯಿಂದ,ಸಂಚಿಕೆಗೆ,ಸಂಚಿಕೆಯಿಂದ,ಸಂಚಿಕೆಯ,ಸಂಚಿಕೆಯಲ್ಲಿ,ಸಂಚಿಕೆಯೇ
ಮಾರ್ಗ,ಮಾರ್ಗ,ಮಾರ್ಗವನ್ನು,ಮಾರ್ಗದಿಂದ,ಮಾರ್ಗಕ್ಕೆ,ಮಾರ್ಗದಿಂದ,ಮಾರ್ಗದ,ಮಾರ್ಗದಲ್ಲಿ,ಮಾರ್ಗವೇ
ಮಟ್ಟ,ಮಟ್ಟ,ಮಟ್ಟವನ್ನು,ಮಟ್ಟದಿಂದ,ಮಟ್ಟಕ್ಕೆ,ಮಟ್ಟದಿಂದ,ಮಟ್ಟದ,ಮಟ್ಟದಲ್ಲಿ,ಮಟ್ಟವೇ
ಕಂಪನಿ,ಕಂಪನಿ,ಕಂಪನಿಯನ್ನು,ಕಂಪನಿಯಿಂದ,ಕಂಪನಿಗೆ,ಕಂಪನಿಯಿಂದ,ಕಂಪನಿಯ,ಕಂಪನಿಯಲ್ಲಿ,ಕಂಪನಿಯೇ
ಸಾರಿಗೆ,ಸಾರಿಗೆ,ಸಾರಿಗೆಯನ್ನು,ಸಾರಿಗೆಯಿಂದ,ಸಾರಿಗೆಗೆ,ಸಾರಿಗೆಯಿಂದ,ಸಾರಿಗೆಯ,ಸಾರಿಗೆಯಲ್ಲಿ,ಸಾರಿಗೆಯೇ
ಖರ್ಚು,ಖರ್ಚು,ಖರ್ಚನ್ನು,ಖರ್ಚಿನಿಂದ,ಖರ್ಚಿಗೆ,ಖರ್ಚಿನಿಂದ,ಖರ್ಚಿನ,ಖರ್ಚಿನಲ್ಲಿ,ಖರ್ಚೇ
ಸಾಲ,ಸಾಲ,ಸಾಲವನ್ನು,ಸಾಲದಿಂದ,ಸಾಲಕ್ಕೆ,ಸಾಲದಿಂದ,ಸಾಲದ,ಸಾಲದಲ್ಲಿ,ಸಾಲವೇ
ನೀತಿ,ನೀತಿ,ನೀತಿಯನ್ನು,ನೀತಿಯಿಂದ,ನೀತಿಗೆ,ನೀತಿಯಿಂದ,ನೀತಿಯ,ನೀತಿಯಲ್ಲಿ,ನೀತಿಯೇ
ಶ್ರಮ,ಶ್ರಮ,ಶ್ರಮವನ್ನು,ಶ್ರಮದಿಂದ,ಶ್ರಮಕ್ಕೆ,ಶ್ರಮದಿಂದ,ಶ್ರಮದ,ಶ್ರಮದಲ್ಲಿ,ಶ್ರಮವೇ
ಕಂಪ್ಯೂಟರ್,ಕಂಪ್ಯೂಟರ್,ಕಂಪ್ಯೂಟರನ್ನು,ಕಂಪ್ಯೂಟರಿನಿಂದ,ಕಂಪ್ಯೂಟರಿಗೆ,ಕಂಪ್ಯೂಟರಿನಿಂದ,ಕಂಪ್ಯೂಟರಿನ,ಕಂಪ್ಯೂಟರಿನಲ್ಲಿ,ಕಂಪ್ಯೂಟರೇ
ಖಾತೆ,ಖಾತೆ,ಖಾತೆಯನ್ನು,ಖಾತೆಯಿಂದ,ಖಾತೆಗೆ,ಖಾತೆಯಿಂದ,ಖಾತೆಯ,ಖಾತೆಯಲ್ಲಿ,ಖಾತೆಯೇ
ಮೇಳ,ಮೇಳ,ಮೇಳವನ್ನು,ಮೇಳದಿಂದ,ಮೇಳಕ್ಕೆ,ಮೇಳದಿಂದ,ಮೇಳದ,ಮೇಳದಲ್ಲಿ,ಮೇಳವೇ
ಮೂಲೆ,ಮೂಲೆ,ಮೂಲೆಯನ್ನು,ಮೂಲೆಯಿಂದ,ಮೂಲೆಗೆ,ಮೂಲೆಯಿಂದ,ಮೂಲೆಯ,ಮೂಲೆಯಲ್ಲಿ,ಮೂಲೆಯೇ
